Id,Age,Income,Home,Emp_length,Intent,Amount,Rate,Status,Percent_income,Cred_length,result
0,22,59000,RENT,123,PERSONAL,35000,16.02,1,0.59,3,Y
1,21,9600,OWN,5,EDUCATION,1000,11.14,0,0.1,2,N
2,25,9600,MORTGAGE,1,MEDICAL,5500,12.87,1,0.57,3,N
3,23,65500,RENT,4,MEDICAL,35000,15.23,1,0.53,2,N
4,24,54400,RENT,8,MEDICAL,35000,14.27,1,0.55,4,Y
5,21,9900,OWN,2,VENTURE,2500,7.14,1,0.25,2,N
6,26,77100,RENT,8,EDUCATION,35000,12.42,1,0.45,3,N
7,24,78956,RENT,5,MEDICAL,35000,11.11,1,0.44,4,N
8,24,83000,RENT,8,PERSONAL,35000,8.9,1,0.42,2,N
9,21,10000,OWN,6,VENTURE,1600,14.74,1,0.16,3,N
10,22,85000,RENT,6,VENTURE,35000,10.37,1,0.41,4,N
11,21,10000,OWN,2,HOMEIMPROVEMENT,4500,8.63,1,0.45,2,N
12,23,95000,RENT,2,VENTURE,35000,7.9,1,0.37,2,N
13,26,108160,RENT,4,EDUCATION,35000,18.39,1,0.32,4,N
14,23,115000,RENT,2,EDUCATION,35000,7.9,0,0.3,4,N
15,23,500000,MORTGAGE,7,DEBTCONSOLIDATION,30000,10.65,0,0.06,3,N
16,23,120000,RENT,0,EDUCATION,35000,7.9,0,0.29,4,N
17,23,92111,RENT,7,MEDICAL,35000,20.25,1,0.32,4,N
18,23,113000,RENT,8,DEBTCONSOLIDATION,35000,18.25,1,0.31,4,N
19,24,10800,MORTGAGE,8,EDUCATION,1750,10.99,1,0.16,2,N
20,25,162500,RENT,2,VENTURE,35000,7.49,0,0.22,4,N
21,25,137000,RENT,9,PERSONAL,34800,16.77,0,0.25,2,Y
22,22,65000,RENT,4,EDUCATION,34000,17.58,1,0.52,4,N
23,24,10980,OWN,0,PERSONAL,1500,7.29,0,0.14,3,N
24,22,80000,RENT,3,PERSONAL,33950,14.54,1,0.42,4,Y
25,24,67746,RENT,8,HOMEIMPROVEMENT,33000,12.68,1,0.49,3,N
26,21,11000,MORTGAGE,3,VENTURE,4575,17.74,1,0.42,3,Y
27,23,11000,OWN,0,PERSONAL,1400,9.32,0,0.13,3,N
28,24,65000,RENT,6,HOMEIMPROVEMENT,32500,9.99,1,0.5,3,N
29,21,11389,OTHER,5,EDUCATION,4000,12.84,1,0.35,2,Y
30,21,11520,OWN,5,MEDICAL,2000,11.12,1,0.17,3,N
31,25,120000,RENT,2,VENTURE,32000,6.62,0,0.27,2,N
32,26,95000,RENT,7,HOMEIMPROVEMENT,31050,14.17,1,0.33,3,Y
